symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,created_at
RGTBTC,0.0,0.0,0.0,0.0003796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
RGTBUSD,0.0,0.0,0.0,14.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
RGTBNB,0.0,0.0,0.0,0.03997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
LAZIOBUSD,0.0,0.0,0.0,1.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
OXTBUSD,0.0,0.0,0.0,0.0513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MANATRY,-0.62,-3.962,15.70455113,15.63,15.03,723.0,15.05,4429.6,15.07,4842.7,15.65,16.28,14.85,1127952.8,17713992.425,2024-04-24 02:35:08.225,2024-04-25 02:35:08.225,10131853,10136472,4620,2024-04-25
ALGORUB,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
SHIBUAH,0.0,0.0,0.0,0.000793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
LUNABIDR,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
AUDUSDC,0.0,0.0,0.0,0.6477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MOVRBTC,-7.6e-06,-3.659,0.00020708,0.000208,0.0002001,0.426,0.0002012,41.029,0.0002016,73.509,0.0002077,0.0002163,0.0001994,2853.479,0.59090316,2024-04-24 02:35:07.545,2024-04-25 02:35:07.545,2379052,2379525,474,2024-04-25
MOVRBNB,0.0,0.0,0.0,0.1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MOVRBUSD,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
MOVRUSDT,-0.839,-6.085,13.61646709,13.79,12.95,1.165,12.949,1.216,12.952,1.423,13.789,14.434,12.669,339498.229,4622766.461306,2024-04-24 02:35:07.750,2024-04-25 02:35:07.750,38527785,38624947,97163,2024-04-25
CITYBTC,0.0,0.0,0.0,6.03e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
CITYBNB,0.0,0.0,0.0,0.01454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
CITYBUSD,0.0,0.0,0.0,2.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
CITYUSDT,-0.05,-1.467,3.39809499,3.405,3.359,1.78,3.358,357.35,3.36,116.74,3.409,3.472,3.304,415809.8,1412961.19938,2024-04-24 02:35:01.720,2024-04-25 02:35:01.720,9327648,9343757,16110,2024-04-25
ENSBTC,-3.1e-06,-1.335,0.00023518,0.0002313,0.0002291,2.17,0.0002286,19.15,0.000229,37.76,0.0002322,0.0002406,0.0002269,8967.29,2.10895043,2024-04-24 02:35:05.636,2024-04-25 02:35:05.636,3731650,3732418,769,2024-04-25
ENSBNB,0.0,0.0,0.0,0.03091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
ENSBUSD,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
ENSUSDT,-0.74,-4.793,15.32593548,15.43,14.7,10.21,14.7,718.67,14.71,99.17,15.44,16.07,14.47,477861.16,7323669.3085,2024-04-24 02:35:09.523,2024-04-25 02:35:09.523,52320684,52364442,43759,2024-04-25
SANDETH,-4.2e-06,-2.781,0.00015161,0.0001515,0.0001468,10.3,0.0001469,201.1,0.0001472,212.2,0.000151,0.0001552,0.0001461,60813.9,9.22018571,2024-04-24 02:34:59.099,2024-04-25 02:34:59.099,1793239,1793445,207,2024-04-25
DOTETH,-4.8e-05,-2.132,0.00223448,0.002246,0.002203,1.31,0.002202,99.74,0.002204,44.69,0.002251,0.002303,0.002189,19424.25,43.40309817,2024-04-24 02:35:06.290,2024-04-25 02:35:06.290,1845505,1846630,1126,2024-04-25
MATICETH,-2.9e-06,-1.27,0.0002284,0.0002283,0.0002255,17.9,0.0002255,3220.9,0.0002256,634.4,0.0002284,0.0002335,0.0002236,293005.5,66.92188412,2024-04-24 02:35:09.970,2024-04-25 02:35:09.970,3838046,3840448,2403,2024-04-25
ANKRBUSD,0.0,0.0,0.0,0.01906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
SANDTRY,-0.81,-5.075,15.7861514,15.9,15.15,27.6,15.16,1255.4,15.17,113.5,15.96,16.48,14.96,677577.4,10696339.421,2024-04-24 02:35:07.317,2024-04-25 02:35:07.317,7967057,7970426,3370,2024-04-25
MANABRL,0.0,0.0,0.0,1.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
KP3RUSDT,-6.18,-7.23,82.39227549,85.45,79.3,0.18,79.28,3.36,79.34,0.61,85.48,87.21,77.98,28603.32,2356692.6213,2024-04-24 02:35:03.940,2024-04-25 02:35:03.940,28634037,28670202,36166,2024-04-25
QIUSDT,-0.00124,-6.304,0.01924673,0.01967,0.01843,2346.0,0.01842,3035.0,0.01843,28896.0,0.01967,0.02005,0.01826,127924203.0,2462122.03748,2024-04-24 02:35:08.924,2024-04-25 02:35:08.924,23989366,24027267,37902,2024-04-25
QIBUSD,0.0,0.0,0.0,0.00507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-04 06:39:59.822,2024-04-05 06:39:59.822,-1,-1,0,2024-04-25
